Afghanistan,OLI_NATION_AFGHANISTAN,93
Aland Islands,OLI_NATION_ALANDISLANDS,248
Albania,OLI_NATION_ALBANIA,355
Algeria,OLI_NATION_ALGERIA,213
American Samoa,OLI_NATION_AMERICANSAMOA,684
Andorra,OLI_NATION_ANDORRA,376
Angola,OLI_NATION_ANGOLA,244
Anguilla,OLI_NATION_ANGUILLA,1001
Antarctica,OLI_NATION_ANTARCTICA,672
Antigua and Barbuda,OLI_NATION_ANTIGUABARBUDA,268
Argentina,OLI_NATION_ARGENTINA,54
Armenia,OLI_NATION_ARMENIA,374
Aruba,OLI_NATION_ARUBA,297
Ascension Islands,OLI_NATION_ASCENSIONISLANDS,247
Australia,OLI_NATION_AUSTRALIA,61
Austria,OLI_NATION_AUSTRIA,43
Azerbaijan,OLI_NATION_AZERBAIJAN,994
Bahamas,OLI_NATION_BAHAMAS,242
Bahrain,OLI_NATION_BAHRAIN,973
Bangladesh,OLI_NATION_BANGLADESH,880
Barbados,OLI_NATION_BARBADOS,246
Belarus,OLI_NATION_BELARUS,375
Belgium,OLI_NATION_BELGIUM,32
Belize,OLI_NATION_BELIZE,501
Benin,OLI_NATION_BENIN,229
Bermuda,OLI_NATION_BERMUDA,441
Bhutan,OLI_NATION_BHUTAN,975
Bolivia,OLI_NATION_BOLIVIA,591
Bonaire, Sint Eustatius and Saba,OLI_NATION_BONAIRESINTEUSTAS,535
Bosnia and Herzegovina,OLI_NATION_BOSNIAHERZEGOVINA,387
Botswana,OLI_NATION_BOTSWANA,267
Bouvet Island,OLI_NATION_BOUVETISLAND,1009
Brazil,OLI_NATION_BRAZIL,55
British Indian Ocean Territory,OLI_NATION_BRITISHINDIANOCNTERR,1011
Brunei Darussalam,OLI_NATION_BRUNEI,673
Bulgaria,OLI_NATION_BULGARIA,359
Burkina Faso,OLI_NATION_BURKINAFASO,226
Burma (Union Of Myanmar),OLI_NATION_BURMA,95
Burundi,OLI_NATION_BURUNDI,257
Cambodia,OLI_NATION_CAMBODIA,855
Cameroon,OLI_NATION_CAMEROON,237
Canada,OLI_NATION_CANADA,2
Cape Verde,OLI_NATION_CAPEVERDEISLAND,238
Cayman Islands,OLI_NATION_CAYMANIS,345
Central African Republic,OLI_NATION_CENTRALAFRICANREP,236
Chad,OLI_NATION_CHAD,235
Chile,OLI_NATION_CHILE,56
China,OLI_NATION_CHINA,86
Christmas Island,OLI_NATION_CHRISTMASISLANDS,1024
Cocoa Islands,OLI_NATION_COCOAISLANDS,1012
Cocos (Keeling) Islands,OLI_NATION_COCOS,1007
Colombia,OLI_NATION_COLUMBIA,57
Comoros,OLI_NATION_COMOROS,269
Congo,OLI_NATION_CONGO,1027
Congo, the Democratic Republic of the,OLI_NATION_CONGODEMREP,271
Cook Islands,OLI_NATION_COOKISLANDS,682
Costa Rica,OLI_NATION_COSTARICA,506
Cote d'Ivoire,OLI_NATION_COTEDIVORIE,1003
Croatia,OLI_NATION_CROATIA,385
Cuba,OLI_NATION_CUBA,53
Curacao,OLI_NATION_CURACAO,1026
Cyprus,OLI_NATION_CYPRUS,357
Czechoslovakia,OLI_NATION_CZECHLOSLOVAKIA,42
Czech Republic,OLI_NATION_CZECHREPUBLIC,420
Denmark,OLI_NATION_DENMARK,45
Diego Garcia,OLI_NATION_DIEGOGARCIA,1030
Djibouti,OLI_NATION_DJIBOUTI,253
Dominica,OLI_NATION_DOMINICA,767
Dominican Republic,OLI_NATION_DOMINICANREPUBLIC,809
Ecuador,OLI_NATION_ECUADOR,593
Egypt,OLI_NATION_EGYPT,20
El Salvador,OLI_NATION_ELSALVADOR,503
Equatorial Guinea,OLI_NATION_EQUATORIALGUINEA,240
Eritrea,OLI_NATION_ERITREA,1004
Estonia,OLI_NATION_ESTONIA,372
Ethiopia,OLI_NATION_ETHIOPIA,251
Falkland Islands (Malvinas),OLI_NATION_FALKLANDISLANDS,500
Faroe Islands,OLI_NATION_FAEROEISLANDS,298
Fiji,OLI_NATION_FIJI,679
Finland,OLI_NATION_FINLAND,358
France,OLI_NATION_FRANCE,33
French Guiana,OLI_NATION_FRENCHGUIANA,594
French Polynesia,OLI_NATION_FRENCHPOLYNESIA,689
French Southern Territories,OLI_NATION_FRENCHSOUTHERNTERRITIOIES,1015
Gabon,OLI_NATION_GABON,241
Gambia,OLI_NATION_GAMBIA,220
Georgia,OLI_NATION_GEORGIA,995
Germany,OLI_NATION_GERMANY,49
Ghana,OLI_NATION_GHANA,233
Gibraltar,OLI_NATION_GIBRALTAR,350
Greece,OLI_NATION_GREECE,30
Greenland,OLI_NATION_GREENLAND,299
Grenada,OLI_NATION_CRENADA,473
Guadeloupe,OLI_NATION_GUADALOUPE,590
Guam,OLI_NATION_GUAM,671
Guatemala,OLI_NATION_GUATEMALA,502
Guernsey,OLI_NATION_GUERNSEY,360
Guinea,OLI_NATION_GUINEA,224
Guinea-Bissau,OLI_NATION_GUINEABISSAU,270
Guyana,OLI_NATION_GUYANA,592
Haiti,OLI_NATION_HAITI,509
Heard Island and McDonald Islands,OLI_NATION_HEARDISLISLAND,1016
Holy See (Vatican City State),OLI_NATION_HOLYSEE,1029
Honduras,OLI_NATION_HONDURAS,504
Hong Kong,OLI_NATION_HONGKONG,852
Hungary,OLI_NATION_HUNGARY,36
Iceland,OLI_NATION_ICELAND,354
India,OLI_NATION_INDIA,91
Indonesia,OLI_NATION_INDONESIA,62
Iran, Islamic Republic of,OLI_NATION_IRAN,98
Iraq,OLI_NATION_IRAQ,964
Ireland,OLI_NATION_IRELAND,353
Isle of Man,OLI_NATION_ISLEOFMAN,1035
Israel,OLI_NATION_ISRAEL,972
Italy,OLI_NATION_ITALY,39
Ivory Coast, Republic Of,OLI_NATION_IVORYCOAST,225
Jamaica,OLI_NATION_JAMAICA,876
Japan,OLI_NATION_JAPAN,81
Jersey,OLI_NATION_JERSEY,1034
Jordan,OLI_NATION_JORDAN,962
Kazakhstan,OLI_NATION_KAZAKHSTAN,1005
Kenya,OLI_NATION_KENYA,254
Kiribati,OLI_NATION_KIRIBATI,686
Korea,OLI_NATION_KOREA,82
Korea, Democratic People's Republic of,OLI_NATION_KOREADEMPEOPLEREP,952
Korea, Republic of,OLI_NATION_KOREAREPUBLIC,951
Kosovo,OLI_NATION_KOSOVO,390
Kuwait,OLI_NATION_KUWAIT,965
Kyrgyzstan,OLI_NATION_KYRGYZSTAN,1006
Lao People's Democratic Republic,OLI_NATION_LAOS,856
Latvia,OLI_NATION_LATVIA,371
Lebanon,OLI_NATION_LEBANON,961
Lesotho,OLI_NATION_LESOTHO,266
Liberia,OLI_NATION_LIBERIA,231
Libya,OLI_NATION_LIBYA,218
Liechtenstein,OLI_NATION_LIECHTENSTEIN,423
Lithuania,OLI_NATION_LITHUANIA,370
Luxembourg,OLI_NATION_LUXEMBOURG,352
Macao,OLI_NATION_MACAO,853
Macedonia, The Former Yugoslav Republic of,OLI_NATION_MACEDONIA,389
Madagascar,OLI_NATION_MADAGASCAR,261
Malawi,OLI_NATION_MALAWI,265
Malaysia,OLI_NATION_MALAYSIA,60
Maldives,OLI_NATION_MALDIVES,1023
Mali,OLI_NATION_MALI,223
Malta,OLI_NATION_MALTA,356
Marshall Islands,OLI_NATION_MARSHALLISLANDS,694
Martinique,OLI_NATION_MARTINIQUE,596
Mauritania,OLI_NATION_MAURITANIA,222
Mauritius,OLI_NATION_MAURITIUS,230
Mayotte,OLI_NATION_MAYOTTEISLAND,1017
Mexico,OLI_NATION_MEXICO,52
Micronesia, Federated States of,OLI_NATION_MICRONESIA,695
Moldova, Republic of,OLI_NATION_MOLDOVA,373
Monaco,OLI_NATION_MONACO,1028
Mongolia,OLI_NATION_MONGOLIA,1008
Montenegro,OLI_NATION_MONTENEGRO,1037
Montserrat,OLI_NATION_MONTSERRAT,664
Morocco,OLI_NATION_MOROCCO,212
Mozambique,OLI_NATION_MOZAMBIQUE,258
Myanmar,OLI_NATION_MYANMAR,950
Namibia,OLI_NATION_NAMIBIA,264
Nauru,OLI_NATION_NAURU,674
Nepal,OLI_NATION_NEPAL,977
Netherlands,OLI_NATION_NETHERLANDS,31
Netherlands Antilles,OLI_NATION_NETHERLANDSANTILLES,599
New Caledonia,OLI_NATION_NEWCALEDONIA,687
New Zealand,OLI_NATION_NEWZEALAND,64
Nicaragua,OLI_NATION_NICARAGUA,505
Niger,OLI_NATION_NIGER,227
Nigeria,OLI_NATION_NIGERIA,234
Niue,OLI_NATION_NIUE,683
Norfolk Island,OLI_NATION_NORFOLKISLAND,1025
Northern Mariana Islands,OLI_NATION_NORTHMARIANAISLANDS,691
North Yemen,OLI_NATION_NORTHYEMEN,1038
Norway,OLI_NATION_NORWAY,47
Oman,OLI_NATION_OMAN,968
Other,OLI_OTHER,2147483647
Pakistan,OLI_NATION_PAKISTAN,92
Palau,OLI_NATION_PALAU,693
Palestine, State of,OLI_NATION_PALESTINE,1032
Panama (also known as Canal Zone),OLI_NATION_PANAMA,1002
Papua New Guinea,OLI_NATION_PAPUANEWGUINEA,675
Paraguay,OLI_NATION_PARAGUAY,595
Peru,OLI_NATION_PERU,51
Philippines,OLI_NATION_PHILIPPINES,63
Pitcairn,OLI_NATION_PITCARINISLANDS,1018
Poland,OLI_NATION_POLAND,48
Portugal,OLI_NATION_PORTUGAL,351
Puerto Rico,OLI_NATION_PUERTORICO,510
Qatar,OLI_NATION_QATAR,974
Reunion,OLI_NATION_REUNIONISLAND,262
Romania,OLI_NATION_ROMANIA,40
Russian Federation,OLI_NATION_RUSSIA,7
Rwanda,OLI_NATION_RWANDA,250
Saint Barthelemy,OLI_NATION_SAINTBARTHELEMY,652
Saint Helena, Ascension and Tristan da Cunha,OLI_NATION_STHELENA,290
Saint Kitts and Nevis,OLI_NATION_STKITTSNEVIS,869
Saint Lucia,OLI_NATION_STLUCIA,758
Saint Martin (French Part),OLI_NATION_SAINTMARTINFRENCH,663
Saint Pierre and Miquelon,OLI_NATION_STPIERRE,508
Saint Vincent and the Grenadines,OLI_NATION_STVINCENT,784
Saipan,OLI_NATION_SAIPAN,670
Samoa,OLI_NATION_SAMOA,1013
San Marino,OLI_NATION_SANMARINO,378
Sao Tome and Principe,OLI_NATION_SAOTOME,239
Saudi Arabia,OLI_NATION_SAUDIARABIA,966
Senegal,OLI_NATION_SENEGAL,221
Serbia,OLI_NATION_SERBIA,1036
Seychelles,OLI_NATION_SEYCHELLES,1010
Sierra Leone,OLI_NATION_SIERRALEONE,232
Singapore,OLI_NATION_SINGAPORE,65
Sint Maarten (Dutch Part),OLI_NATION_SINTMAARTEN,534
Slovakia,OLI_NATION_SLOVAKIA,421
Slovenia,OLI_NATION_SLOVENIA,386
Solomon Islands,OLI_NATION_SOLOMONISLANDS,677
Somalia,OLI_NATION_SOMALIA,252
South Africa,OLI_NATION_SOUTHAFRICA,27
South Georgia and the South Sandwich Islands,OLI_NATION_SOUTHGEORGIASANDWICH,512
South Sudan,OLI_NATION_SOUTH_SUDAN,728
South Yemen,OLI_NATION_SOUTHYEMEN,1039
Spain,OLI_NATION_SPAIN,34
Sri Lanka,OLI_NATION_SRILANKA,94
Sudan,OLI_NATION_SUDAN,249
Suriname,OLI_NATION_SURINAME,597
Svalbard and Jan Mayen,OLI_NATION_SVALBARDISLAND,1019
Swaziland,OLI_NATION_SWAZILAND,1031
Sweden,OLI_NATION_SWEDEN,46
Switzerland,OLI_NATION_SWITZERLAND,41
Syrian Arab Republic,OLI_NATION_SYRIA,963
Taiwan, Province of China,OLI_NATION_TAIWAN,886
Tajikistan,OLI_NATION_TAJIKISTAN,992
Tanzania, United Republic of,OLI_NATION_TANZANIA,255
Thailand,OLI_NATION_THAILAND,66
Timor-Leste,OLI_NATION_EASTTIMOR,1014
Togo,OLI_NATION_TOGO,228
Tokelau,OLI_NATION_TOKELAU,1020
Tonga,OLI_NATION_TONGAISLANDS,676
Trinidad and Tobago,OLI_NATION_TRINIDADTOBAGO,868
Tunisia,OLI_NATION_TUNISIA,216
Turkey,OLI_NATION_TURKEY,90
Turkmenistan,OLI_NATION_TURKMENISTAN,993
Turks and Caicos Islands,OLI_NATION_TURKSCAICOSIS,649
Tuvalu,OLI_NATION_TUVALU,688
Uganda,OLI_NATION_UGANDA,256
Ukraine,OLI_NATION_UKRAINE,380
Union of Soviet Socialist Republics,OLI_NATION_USSR,1040
United Arab Emirates,OLI_NATION_UNITEDARABEMIRATES,971
United Kingdom,OLI_NATION_UK,44
United States Minor Outlying Islands,OLI_NATION_USMINOROUTLYINGISLANDS,1021
United States of America,OLI_NATION_USA,1
Unknown,OLI_UNKNOWN,0
Uruguay,OLI_NATION_URUGUAY,598
Uzbekistan,OLI_NATION_UZBEKISTAN,998
Vanuatu,OLI_NATION_VANUATU,678
Venezuela,OLI_NATION_VENEZUELA,58
Viet Nam,OLI_NATION_VIETNAM,84
Virgin Islands, British,OLI_NATION_BRITISHVIRGINIS,284
Virgin Islands, US,OLI_NATION_VIRGINISLANDSUS,511
Wallis and Futuna,OLI_NATION_WALLISISLANDS,681
Western Sahara,OLI_NATION_WESTERNSARAHA,1022
Western Samoa,OLI_NATION_WESTERNSAMOA,685
Yemen,OLI_NATION_YEMEN,967
Yugoslavia,OLI_NATION_YUGOSLAVIA,38
Zaire,OLI_NATION_ZAIRE,243
Zambia,OLI_NATION_ZAMBIA,260
Zimbabwe,OLI_NATION_ZIMBABWE,263

